Mile,Minute,Runners
8H,0,0
9H,0,0
10H,0,0
8H,2,0
9H,2,0
10H,2,0
8H,4,0
9H,4,0
10H,4,0
8H,6,0
9H,6,0
10H,6,0
8H,8,0
9H,8,0
10H,8,0
8H,10,0
9H,10,0
10H,10,0
8H,12,0
9H,12,0
10H,12,0
8H,14,0
9H,14,0
10H,14,0
8H,16,0
9H,16,0
10H,16,0
8H,18,0
9H,18,0
10H,18,0
8H,20,0
9H,20,0
10H,20,0
8H,22,0
9H,22,0
10H,22,0
8H,24,0
9H,24,0
10H,24,0
8H,26,0
9H,26,0
10H,26,0
8H,28,0
9H,28,0
10H,28,0
8H,30,0
9H,30,0
10H,30,0
8H,32,0
9H,32,0
10H,32,0
8H,34,0
9H,34,0
10H,34,0
8H,36,0
9H,36,0
10H,36,0
8H,38,0
9H,38,0
10H,38,0
8H,40,0
9H,40,0
10H,40,0
8H,42,0
9H,42,0
10H,42,0
8H,44,0
9H,44,0
10H,44,0
8H,46,0
9H,46,0
10H,46,0
8H,48,0
9H,48,0
10H,48,0
8H,50,10
9H,50,0
10H,50,0
8H,52,20
9H,52,0
10H,52,0
8H,54,80
9H,54,0
10H,54,0
8H,56,110
9H,56,10
10H,56,0
8H,58,150
9H,58,20
10H,58,0
8H,60,200
9H,60,60
10H,60,0
8H,62,220
9H,62,90
10H,62,10
8H,64,310
9H,64,130
10H,64,20
8H,66,420
9H,66,160
10H,66,50
8H,68,490
9H,68,180
10H,68,80
8H,70,540
9H,70,220
10H,70,100
8H,72,600
9H,72,310
10H,72,130
8H,74,640
9H,74,410
10H,74,160
8H,76,740
9H,76,440
10H,76,200
8H,78,860
9H,78,520
10H,78,210
8H,80,910
9H,80,520
10H,80,290
8H,82,980
9H,82,560
10H,82,370
8H,84,1040
9H,84,680
10H,84,420
8H,86,1130
9H,86,770
10H,86,500
8H,88,1440
9H,88,860
10H,88,450
8H,90,1600
9H,90,830
10H,90,510
8H,92,1570
9H,92,900
10H,92,630
8H,94,1630
9H,94,1010
10H,94,670
8H,96,1650
9H,96,1100
10H,96,820
8H,98,1630
9H,98,1350
10H,98,750
8H,100,1600
9H,100,1490
10H,100,800
8H,102,1800
9H,102,1470
10H,102,850
8H,104,1790
9H,104,1560
10H,104,920
8H,106,1780
9H,106,1510
10H,106,1060
8H,108,1710
9H,108,1480
10H,108,1300
8H,110,1730
9H,110,1510
10H,110,1440
8H,112,1670
9H,112,1570
10H,112,1410
8H,114,1470
9H,114,1720
10H,114,1390
8H,116,1520
9H,116,1680
10H,116,1450
8H,118,1460
9H,118,1680
10H,118,1370
8H,120,1540
9H,120,1580
10H,120,1370
8H,122,1530
9H,122,1610
10H,122,1470
8H,124,1500
9H,124,1550
10H,124,1540
8H,126,1710
9H,126,1430
10H,126,1630
8H,128,1680
9H,128,1400
10H,128,1590
8H,130,1680
9H,130,1380
10H,130,1550
8H,132,1590
9H,132,1410
10H,132,1540
8H,134,1440
9H,134,1400
10H,134,1530
8H,136,1320
9H,136,1420
10H,136,1420
8H,138,1190
9H,138,1440
10H,138,1440
8H,140,1020
9H,140,1520
10H,140,1350
8H,142,1000
9H,142,1590
10H,142,1290
8H,144,900
9H,144,1520
10H,144,1310
8H,146,840
9H,146,1360
10H,146,1340
8H,148,810
9H,148,1310
10H,148,1310
8H,150,800
9H,150,1220
10H,150,1300
8H,152,780
9H,152,1070
10H,152,1370
8H,154,750
9H,154,930
10H,154,1410
8H,156,680
9H,156,860
10H,156,1410
8H,158,500
9H,158,840
10H,158,1330
8H,160,450
9H,160,760
10H,160,1330
8H,162,420
9H,162,740
10H,162,1160
8H,164,350
9H,164,730
10H,164,1100
8H,166,280
9H,166,680
10H,166,1030
8H,168,210
9H,168,690
10H,168,880
8H,170,150
9H,170,670
10H,170,780
8H,172,130
9H,172,550
10H,172,760
8H,174,110
9H,174,480
10H,174,730
8H,176,90
9H,176,420
10H,176,710
8H,178,90
9H,178,360
10H,178,710
8H,180,100
9H,180,320
10H,180,650
8H,182,80
9H,182,280
10H,182,620
8H,184,80
9H,184,200
10H,184,660
8H,186,80
9H,186,150
10H,186,640
8H,188,80
9H,188,130
10H,188,500
8H,190,70
9H,190,130
10H,190,430
8H,192,80
9H,192,110
10H,192,400
8H,194,80
9H,194,90
10H,194,370
8H,196,80
9H,196,80
10H,196,310
8H,198,70
9H,198,80
10H,198,260
8H,200,50
9H,200,80
10H,200,210
8H,202,50
9H,202,60
10H,202,180
8H,204,30
9H,204,80
10H,204,130
8H,206,20
9H,206,80
10H,206,110
8H,208,20
9H,208,80
10H,208,110
8H,210,10
9H,210,70
10H,210,110
8H,212,10
9H,212,70
10H,212,90
8H,214,0
9H,214,80
10H,214,80
8H,216,0
9H,216,80
10H,216,80
8H,218,0
9H,218,70
10H,218,60
8H,220,0
9H,220,50
10H,220,80
8H,222,0
9H,222,50
10H,222,60
8H,224,0
9H,224,30
10H,224,70
8H,226,0
9H,226,30
10H,226,70
8H,228,0
9H,228,20
10H,228,80
8H,230,0
9H,230,20
10H,230,60
8H,232,0
9H,232,10
10H,232,70
8H,234,0
9H,234,10
10H,234,70
8H,236,0
9H,236,10
10H,236,70
8H,238,0
9H,238,0
10H,238,70
8H,240,0
9H,240,0
10H,240,50
8H,242,0
9H,242,0
10H,242,50
8H,244,0
9H,244,0
10H,244,50
8H,246,0
9H,246,0
10H,246,30
8H,248,0
9H,248,0
10H,248,30
8H,250,0
9H,250,0
10H,250,20
8H,252,0
9H,252,0
10H,252,20
8H,254,0
9H,254,0
10H,254,10
8H,256,0
9H,256,0
10H,256,10
8H,258,0
9H,258,0
10H,258,10
8H,260,0
9H,260,0
10H,260,0
8H,262,0
9H,262,0
10H,262,0
8H,264,0
9H,264,0
10H,264,0
8H,266,0
9H,266,0
10H,266,0
8H,268,0
9H,268,0
10H,268,0
8H,270,0
9H,270,0
10H,270,0
8H,272,0
9H,272,0
10H,272,0
8H,274,0
9H,274,0
10H,274,0
8H,276,0
9H,276,0
10H,276,0
8H,278,0
9H,278,0
10H,278,0
8H,280,0
9H,280,0
10H,280,0
8H,282,0
9H,282,0
10H,282,0
8H,284,0
9H,284,0
10H,284,0
8H,286,0
9H,286,0
10H,286,0
8H,288,0
9H,288,0
10H,288,0
8H,290,0
9H,290,0
10H,290,0
8H,292,0
9H,292,0
10H,292,0
8H,294,0
9H,294,0
10H,294,0
8H,296,0
9H,296,0
10H,296,0
8H,298,0
9H,298,0
10H,298,0
8H,300,0
9H,300,0
10H,300,0
8H,302,0
9H,302,0
10H,302,0
8H,304,0
9H,304,0
10H,304,0
8H,306,0
9H,306,0
10H,306,0
8H,308,0
9H,308,0
10H,308,0
8H,310,0
9H,310,0
10H,310,0
8H,312,0
9H,312,0
10H,312,0
8H,314,0
9H,314,0
10H,314,0
8H,316,0
9H,316,0
10H,316,0
8H,318,0
9H,318,0
10H,318,0
8H,320,0
9H,320,0
10H,320,0
8H,322,0
9H,322,0
10H,322,0
8H,324,0
9H,324,0
10H,324,0
8H,326,0
9H,326,0
10H,326,0
8H,328,0
9H,328,0
10H,328,0
8H,330,0
9H,330,0
10H,330,0
8H,332,0
9H,332,0
10H,332,0
8H,334,0
9H,334,0
10H,334,0
8H,336,0
9H,336,0
10H,336,0
8H,338,0
9H,338,0
10H,338,0
8H,340,0
9H,340,0
10H,340,0
8H,342,0
9H,342,0
10H,342,0
8H,344,0
9H,344,0
10H,344,0
8H,346,0
9H,346,0
10H,346,0
8H,348,0
9H,348,0
10H,348,0
8H,350,0
9H,350,0
10H,350,0
8H,352,0
9H,352,0
10H,352,0
8H,354,0
9H,354,0
10H,354,0
8H,356,0
9H,356,0
10H,356,0
8H,358,0
9H,358,0
10H,358,0
8H,360,0
9H,360,0
10H,360,0
8H,362,0
9H,362,0
10H,362,0
8H,364,0
9H,364,0
10H,364,0
8H,366,0
9H,366,0
10H,366,0
8H,368,0
9H,368,0
10H,368,0
8H,370,0
9H,370,0
10H,370,0
8H,372,0
9H,372,0
10H,372,0
8H,374,0
9H,374,0
10H,374,0
8H,376,0
9H,376,0
10H,376,0
8H,378,0
9H,378,0
10H,378,0
8H,380,0
9H,380,0
10H,380,0
8H,382,0
9H,382,0
10H,382,0
8H,384,0
9H,384,0
10H,384,0
8H,386,0
9H,386,0
10H,386,0
8H,388,0
9H,388,0
10H,388,0
8H,390,0
9H,390,0
10H,390,0
8H,392,0
9H,392,0
10H,392,0
8H,394,0
9H,394,0
10H,394,0
8H,396,0
9H,396,0
10H,396,0
8H,398,0
9H,398,0
10H,398,0
8H,400,0
9H,400,0
10H,400,0
8H,402,0
9H,402,0
10H,402,0
8H,404,0
9H,404,0
10H,404,0
8H,406,0
9H,406,0
10H,406,0
8H,408,0
9H,408,0
10H,408,0
8H,410,0
9H,410,0
10H,410,0
8H,412,0
9H,412,0
10H,412,0
8H,414,0
9H,414,0
10H,414,0
8H,416,0
9H,416,0
10H,416,0
8H,418,0
9H,418,0
10H,418,0
8H,420,0
9H,420,0
10H,420,0
8H,422,0
9H,422,0
10H,422,0
8H,424,0
9H,424,0
10H,424,0
8H,426,0
9H,426,0
10H,426,0
8H,428,0
9H,428,0
10H,428,0
8H,430,0
9H,430,0
10H,430,0
8H,432,0
9H,432,0
10H,432,0
8H,434,0
9H,434,0
10H,434,0
8H,436,0
9H,436,0
10H,436,0
8H,438,0
9H,438,0
10H,438,0
8H,440,0
9H,440,0
10H,440,0
8H,442,0
9H,442,0
10H,442,0
8H,444,0
9H,444,0
10H,444,0
8H,446,0
9H,446,0
10H,446,0
8H,448,0
9H,448,0
10H,448,0
8H,450,0
9H,450,0
10H,450,0
8H,452,0
9H,452,0
10H,452,0
8H,454,0
9H,454,0
10H,454,0
8H,456,0
9H,456,0
10H,456,0
8H,458,0
9H,458,0
10H,458,0
8H,460,0
9H,460,0
10H,460,0
8H,462,0
9H,462,0
10H,462,0
8H,464,0
9H,464,0
10H,464,0
8H,466,0
9H,466,0
10H,466,0
8H,468,0
9H,468,0
10H,468,0
8H,470,0
9H,470,0
10H,470,0
8H,472,0
9H,472,0
10H,472,0
8H,474,0
9H,474,0
10H,474,0
8H,476,0
9H,476,0
10H,476,0
8H,478,0
9H,478,0
10H,478,0
8H,480,0
9H,480,0
10H,480,0
8H,482,0
9H,482,0
10H,482,0
8H,484,0
9H,484,0
10H,484,0
8H,486,0
9H,486,0
10H,486,0
8H,488,0
9H,488,0
10H,488,0
8H,490,0
9H,490,0
10H,490,0
8H,492,0
9H,492,0
10H,492,0
8H,494,0
9H,494,0
10H,494,0
8H,496,0
9H,496,0
10H,496,0
8H,498,0
9H,498,0
10H,498,0
8H,500,0
9H,500,0
10H,500,0
