MileNumber,Latitude,Longitude
1,29.767412,-95.373688
2,29.768819,-95.390242
3,29.761322,-95.398233
4,29.753103,-95.405501
5,29.748742,-95.418786
6,29.734426,-95.418684
7,29.725555,-95.411744
8,29.722225,-95.399491
9,29.715433,-95.412687
10,29.714941,-95.429177
11,29.718501,-95.441231
12,29.727236,-95.447859
13,29.725964,-95.463754
14,29.73435,-95.460463
15,29.747873,-95.461133
16,29.756874,-95.47184
17,29.768145,-95.478278
18,29.778463,-95.480461
19,29.778658,-95.4641
20,29.771665,-95.451609
21,29.765118,-95.43827
22,29.761439,-95.422617
23,29.759795,-95.408224
24,29.761262,-95.392817
25,29.760095,-95.376625
26,29.754649,-95.362924