Ref#,lat,lon
1,0,0
2,29.755337,-95.3585797
3,29.7596613,-95.3564509
4,29.7632912,-95.3624931
5,29.7713353,-95.3621472
6,29.7664216,-95.3714527
7,29.7678674,-95.3697542
8,1,1
9,29.7595552,-95.3981353
10,29.757761,-95.3975826
11,29.7532294,-95.3979697
12,29.752321,-95.4000941
13,29.7530557,-95.4083683
14,29.7483951,-95.4187911
15,29.7480675,-95.4195625
16,29.7410663,-95.4182701
17,29.7407969,-95.4192957
18,29.7369139,-95.418734
19,29.7327644,-95.4186852
20,29.7331928,-95.4188657
21,-1,-1
22,29.7257287,-95.3995061
23,29.6354543,-95.4940717
24,29.6354546,-95.4940709
25,29.728943,-95.391526
26,29.7357453,-95.3915978
27,29.7412194,-95.3915579
28,29.7229434,-95.3994926
29,29.7217189,-95.4007114
30,29.717328,-95.4128437
31,29.7205233,-95.3938661
32,2,2
33,29.714456,-95.432703
34,29.7155654,-95.4381865
35,29.7282873,-95.4441963
36,3,3
37,29.7399254,-95.4592177
38,29.7414868,-95.4629597
39,29.7434181,-95.4611912
40,29.7463461,-95.4591455
41,29.7500714,-95.4616035
42,29.749243,-95.46844
43,29.7782204,-95.4858936
44,29.7784,4
45,29.7776043,-95.4776639
46,5,5
47,29.7614036,-95.4216042
48,29.7615426,-95.4162067
49,29.7607039,-95.3746999