Event,Corral,DropPct
Start,A,-0.021726191
5K,A,-0.00213198
10K,A,-0.000885858
15K,A,-0.002678908
20K,A,-0.000787396
Half,A,-0.004536313
25K,A,-0.008924302
30K,A,-0.007524272
35K,A,-0.005101126
40K,A,-0.006760999
Finish,A,-0.001803302
Start,B,-0.017302632
5K,B,-0.00213198
10K,B,-0.000885858
15K,B,-0.002678908
20K,B,-0.000787396
Half,B,-0.004536313
25K,B,-0.008924302
30K,B,-0.007524272
35K,B,-0.005101126
40K,B,-0.006760999
Finish,B,-0.001803302
Start,C,-0.031118421
5K,C,-0.00213198
10K,C,-0.000885858
15K,C,-0.002678908
20K,C,-0.000787396
Half,C,-0.004536313
25K,C,-0.008924302
30K,C,-0.007524272
35K,C,-0.005101126
40K,C,-0.006760999
Finish,C,-0.001803302
Start,D,-0.0336125
5K,D,-0.00213198
10K,D,-0.000885858
15K,D,-0.002678908
20K,D,-0.000787396
Half,D,-0.004536313
25K,D,-0.008924302
30K,D,-0.007524272
35K,D,-0.005101126
40K,D,-0.006760999
Finish,D,-0.001803302
Start,E,-0.036863637
5K,E,-0.00213198
10K,E,-0.000885858
15K,E,-0.002678908
20K,E,-0.000787396
Half,E,-0.004536313
25K,E,-0.008924302
30K,E,-0.007524272
35K,E,-0.005101126
40K,E,-0.006760999
Finish,E,-0.001803302